17.693   13.826     .000
19.858   12.564    -.055
21.106   10.363    -.147
22.366    5.656    -.260
22.367    8.165    -.250
19.852    1.261    -.081
17.690     .000     .000
21.104    3.459    -.170
 2.530    -.005     .047
15.160    -.002     .055
  .000     .000     .000
-2.163    1.262    -.054
-3.415    3.463    -.091
-4.677    8.168    -.104
-4.678    5.662    -.113
-2.159   12.565    -.043
10.109   13.837    -.058
 7.585   13.838    -.078
 5.062   13.833    -.064
 2.535   13.828    -.041
15.163   13.830     .006
  .007   13.825    -.030
-3.412   10.366    -.074
12.635   13.835    -.017
10.108    -.010     .103
 7.583    -.012     .095
 5.058    -.011     .078
12.631    -.009     .092
16.397   10.553    -.025
16.395   12.025    -.012
17.696   12.719    -.017
17.648    8.369    -.062
17.649    9.825    -.052
18.926   10.548    -.074
18.892   12.022    -.048
17.647    4.001    -.051
17.647    5.456    -.062
18.905    6.183    -.106
18.905    7.641    -.104
20.167    8.373    -.145
20.145    9.814    -.124
18.924    3.277    -.083
20.143    4.009    -.139
20.167    5.449    -.153
21.411    6.213    -.211
21.410    7.608    -.207
17.692    1.107    -.016
18.887    1.804    -.060
 5.076    5.454    -.027
 5.074    3.990    -.006
 3.814    3.268    -.001
 3.812    1.794     .028
11.362    3.270     .041
 2.533    1.102     .027
 3.820    7.642    -.055
 3.820    6.182    -.043
11.356    7.644    -.022
 2.561    5.456    -.041
11.355    6.182    -.010
 2.560    3.994    -.022
10.090    5.460    -.453
16.395    3.274    -.011
 1.297    3.273    -.025
10.100    3.996     .015
16.391    1.801     .007
 1.300    1.800    -.003
 8.845    3.268     .031
15.158    1.105     .040
 -.002    1.108    -.014
11.367   12.034    -.033
 2.561    9.830    -.059
11.365   10.557    -.029
 2.561    8.367    -.059
10.103    9.831    -.047
16.386    7.643    -.037
 1.307    7.641    -.059
10.092    8.373    -.391
16.386    6.184    -.034
 1.307    6.182    -.053
15.132    5.458    -.008
  .046    5.456    -.058
 8.818    7.661    -.962
 8.816    6.184    -.946
15.133    3.995     .005
  .044    4.000    -.048
 7.573    5.458    -.470
13.878    3.271     .030
-1.234    3.277    -.059
 7.590    3.995     .001
13.879    1.797     .050
-1.198    1.805    -.043
10.109   12.731    -.053
 1.298   10.551    -.055
 8.848   12.036    -.063
15.135    9.831    -.016
  .046    9.824    -.060
 8.847   10.558    -.057
15.133    8.368    -.018
  .045    8.369    -.064
 7.592    9.830    -.070
13.873    7.643    -.008
-1.212    7.642    -.073
 7.574    8.375    -.506
13.872    6.184     .001
-1.212    6.184    -.073
 6.336    7.644    -.060
12.616    5.456     .012
-2.475    5.453    -.086
 6.336    6.180    -.043
12.617    3.993     .028
-2.453    4.011    -.081
 7.587   12.730    -.074
13.880   10.556    -.013
-1.232   10.549    -.060
 6.330   12.033    -.071
12.619    9.834    -.018
-2.451    9.815    -.071
 6.331   10.556    -.067
12.617    8.371    -.011
-2.475    8.375    -.080
 5.076    9.833    -.066
-3.720    7.612    -.096
 5.077    8.369    -.058
-3.720    6.217    -.100
 5.064   12.726    -.066
 3.814   12.028    -.059
 3.816   10.554    -.062
 2.536   12.720    -.048
 1.303   12.024    -.047
 6.329    3.268     .017
15.161   12.723    -.002
  .002   12.718    -.040
13.883   12.030    -.009
-1.194   12.022    -.047
12.633   12.728    -.018
 6.327    1.791     .048
 8.845    1.791     .062
11.364    1.793     .068
10.107    1.097     .080
 7.585    1.095     .070
 5.060    1.096     .054
12.630    1.099     .074
