22.455    0.000    0.000
23.383   -2.327   -0.074
23.011   -4.829   -0.186
21.106   -9.312   -0.336
22.651   -7.336   -0.311
16.419  -11.228   -0.173
13.939  -10.892   -0.089
18.759  -10.267   -0.254
 1.991   -1.562    0.034
11.944   -9.336   -0.022
 0.000   -0.000    0.000
-0.927    2.327   -0.035
-0.558    4.832   -0.052
 1.344    9.317   -0.028
-0.200    7.342   -0.052
 6.036   11.230    0.049
16.485    4.679   -0.020
14.497    6.234   -0.027
12.506    7.784   -0.000
10.512    9.335    0.036
20.464    1.562    0.019
 8.518   10.890    0.059
 3.694   10.269    0.011
18.474    3.122    0.009
 7.958   -6.233    0.051
 5.968   -4.679    0.057
 3.979   -3.123    0.052
 9.948   -7.785    0.028
19.403   -1.768    0.129
20.311   -0.609   -0.031
21.769   -0.885   -0.030
19.058   -4.300    0.069
19.940   -3.138    0.105
21.408   -3.354    0.125
22.297   -2.160    0.088
16.382   -7.686    0.067
17.290   -6.557    0.045
18.729   -6.767   -0.041
19.607   -5.644   -0.030
21.056   -5.818   -0.000
21.938   -4.665    0.043
16.939   -9.065    0.068
18.341   -9.276   -0.004
19.241   -8.130   -0.028
20.695   -8.296   -0.153
21.562   -7.190   -0.140
14.630  -10.014   -0.098
15.993  -10.222    0.002
 7.352    1.121    0.506
 6.431    0.012    0.170
 4.996    0.208    0.228
 4.095   -0.933    0.105
10.971   -4.413    0.076
 2.674   -0.701   -0.032
 7.756    3.663    0.706
 6.828    2.480    0.711
13.628   -0.937    0.400
 5.392    2.725    0.585
12.715   -2.110    0.403
 4.501    1.570    0.369
11.302   -1.920    0.096
14.918   -7.507    0.113
 3.059    1.756    0.186
10.424   -3.072    0.091
14.014   -8.668   -0.083
 2.137    0.596   -0.001
 8.978   -2.874    0.105
12.622   -8.462   -0.068
 0.681    0.882   -0.016
16.380    2.482    0.094
 8.081    6.138    0.380
15.448    1.317    0.064
 7.168    5.002    0.574
14.009    1.526    0.086
17.621   -4.089    0.229
 5.715    5.223    0.336
13.113    0.389    0.086
16.737   -5.221    0.227
 4.826    4.084    0.331
15.289   -4.991    0.502
 3.405    4.291    0.184
11.680    0.581   -0.075
10.773   -0.575   -0.077
14.378   -6.154    0.293
 2.521    3.128    0.188
 9.344   -0.380    0.121
12.939   -5.990    0.161
 1.054    3.347    0.227
 8.436   -1.518    0.116
12.040   -7.137    0.053
 0.163    2.156    0.123
15.818    3.801    0.054
 7.549    7.492    0.212
14.389    4.035   -0.010
17.953   -1.576    0.302
 6.097    7.688    0.219
13.477    2.875    0.093
17.051   -2.739    0.501
 5.170    6.557    0.210
12.023    3.073    0.116
15.616   -2.486    0.635
 3.732    6.765    0.156
11.140    1.927    0.129
14.696   -3.662    0.636
 2.852    5.642    0.146
 9.738    2.107    0.468
13.257   -3.476    0.443
 1.401    5.800    0.173
 8.816    0.934    0.466
12.406   -4.635    0.114
 0.508    4.655    0.177
13.817    5.366    0.067
17.455   -0.219    0.174
 5.520    9.064    0.273
12.393    5.604    0.114
16.010   -0.016    0.119
 4.118    9.268    0.218
11.490    4.412    0.090
15.094   -1.134    0.424
 3.225    8.130    0.206
10.056    4.644    0.171
 1.776    8.286    0.098
 9.199    3.487    0.494
 0.903    7.173    0.084
11.815    6.927    0.106
10.406    7.136    0.101
 9.519    5.993    0.232
 9.840    8.460   -0.026
 8.447    8.670    0.031
 7.001   -1.324    0.118
19.780    0.699   -0.046
 7.824   10.012    0.054
18.356    0.934    0.068
 6.465   10.220    0.184
17.807    2.246    0.098
 6.072   -2.481    0.161
 8.071   -4.047    0.026
10.076   -5.599    0.136
 8.650   -5.373    0.117
 6.644   -3.804    0.132
 4.647   -2.241    0.156
10.639   -6.922    0.116
