         22.172       4.851      -0.067
         20.938       7.032      -0.099
         18.753       8.311      -0.074
         14.063       9.635      -0.055
         16.571       9.603      -0.037
          9.637       7.173      -0.196
          8.348       5.026      -0.217
         11.850       8.399      -0.126
          8.142     -10.125       0.251
          8.313       2.496      -0.186
          8.113     -12.652       0.384
          9.346     -14.828       0.525
         11.529     -16.106       0.629
         16.217     -17.428       0.736
         13.711     -17.396       0.717
         20.647     -14.970       0.637
         22.082      -2.727       0.249
         22.049      -5.248       0.355
         22.011      -7.770       0.426
         21.972     -10.296       0.489
         22.143       2.322       0.013
         21.936     -12.823       0.564
         18.431     -16.193       0.686
         22.114      -0.204       0.122
          8.238      -2.554      -0.062
          8.203      -5.077       0.031
          8.170      -7.600       0.134
          8.273      -0.032      -0.137
         18.885       3.573      -0.201
         20.355       3.562      -0.016
         21.052       4.871      -0.057
         16.694       4.889      -0.230
         18.153       4.848      -0.240
         18.904       6.127      -0.297
         20.391       6.075      -0.233
         12.379       4.920      -0.301
         13.828       4.923      -0.255
         14.563       6.179      -0.206
         15.989       6.161      -0.192
         16.761       7.398      -0.258
         18.213       7.363      -0.275
         11.653       6.216      -0.366
         12.365       7.444      -0.330
         13.822       7.430      -0.281
         14.601       8.672      -0.191
         16.006       8.656      -0.180
          9.465       5.016      -0.189
         10.158       6.205      -0.324
         13.599      -7.642      -0.227
         12.152      -7.653       0.085
         11.407      -8.897       0.064
          9.951      -8.881       0.162
         11.543      -1.344      -0.079
          9.240     -10.128       0.336
         15.836      -8.924      -0.339
         14.333      -8.908      -0.370
         15.922      -1.459      -0.325
         13.623     -10.176      -0.206
         14.436      -1.438      -0.353
         12.161     -10.140      -0.016
         13.694      -2.646      -0.011
         11.603       3.665      -0.311
         11.400     -11.373       0.203
         12.246      -2.610      -0.032
         10.128       3.694      -0.141
          9.916     -11.359       0.365
         11.495      -3.861      -0.009
          9.418       2.479      -0.120
          9.226     -12.672       0.420
         20.305      -1.439       0.055
         17.964     -10.205       0.073
         18.813      -1.437       0.059
         16.510     -10.215      -0.145
         18.075      -2.690       0.074
         15.962       3.631      -0.353
         15.769     -11.476       0.130
         16.628      -2.677       0.049
         14.526       3.649      -0.376
         14.324     -11.456       0.110
         13.803       2.366      -0.613
         13.593     -12.688       0.293
         15.877      -3.908       0.246
         14.408      -3.892       0.223
         12.323       2.391      -0.429
         12.133     -12.650       0.263
         13.669      -5.136       0.061
         11.547       1.172      -0.262
         11.386     -13.932       0.262
         12.213      -5.132       0.041
         10.089       1.193      -0.180
          9.898     -13.878       0.339
         20.981      -2.701       0.156
         18.683     -11.460       0.303
         20.267      -3.958       0.257
         18.130       2.316      -0.338
         17.927     -12.715       0.332
         18.794      -3.948       0.129
         16.662       2.332      -0.562
         16.465     -12.730       0.317
         18.038      -5.206       0.142
         15.963       1.049      -0.658
         15.726     -13.979       0.408
         16.592      -5.178       0.104
         14.470       1.068      -0.685
         14.299     -13.962       0.393
         15.861      -6.397      -0.200
         13.711      -0.163      -0.456
         13.514     -15.193       0.401
         14.369      -6.382      -0.223
         12.269      -0.089      -0.154
         12.063     -15.173       0.372
         20.948      -5.239       0.242
         18.874       1.084      -0.149
         18.640     -14.027       0.342
         20.243      -6.500       0.232
         18.127      -0.167      -0.057
         17.920     -15.245       0.433
         18.748      -6.458       0.230
         16.687      -0.194      -0.385
         16.474     -15.229       0.420
         18.032      -7.724       0.186
         15.686     -16.452       0.563
         16.599      -7.681      -0.163
         14.272     -16.436       0.552
         20.912      -7.777       0.302
         20.193      -9.006       0.343
         18.749      -8.988       0.187
         20.869     -10.270       0.531
         20.161     -11.490       0.510
         11.466      -6.372       0.076
         21.041       2.331       0.059
         20.818     -12.815       0.550
         20.335       1.070      -0.017
         20.131     -14.010       0.455
         21.014      -0.180       0.013
          9.983      -6.374       0.008
         10.012      -3.832       0.043
         10.059      -1.303      -0.165
          9.342      -2.555      -0.109
          9.310      -5.100      -0.025
          9.278      -7.635       0.050
          9.380      -0.036      -0.206

